id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;strict;minority upward;publicize phooey camouflage;true;2026-04-27;2026-04-26
2;floss;including;wallop wherever anti;true;2026-04-27;2026-04-26
3;extra-large;gadzooks pinstripe;slimy;true;2026-04-27;2026-04-27
4;finally gah;afore hm;supposing;true;2026-04-27;2026-04-26
5;masculinize;brr;aside happily reservation;false;2026-04-27;2026-04-27
6;above meal;clavicle;seemingly meanwhile;true;2026-04-27;2026-04-27
7;huzzah splay;silent;millet enthusiastically unimpressively;true;2026-04-27;2026-04-26
8;joyous boohoo;inventory heartache;spattering;true;2026-04-27;2026-04-27
9;duster helpless key;even;replacement;true;2026-04-27;2026-04-27
10;mozzarella connect;relative although;wearily;false;2026-04-27;2026-04-27
11;amid perspire;regarding gadzooks;that;true;2026-04-27;2026-04-27
12;conclude grouper;yahoo;toward quicker incidentally;true;2026-04-27;2026-04-27
13;jam-packed correctly defiantly;until excepting academics;or ethical;false;2026-04-27;2026-04-27
14;gosh french;ew embarrassment;spork commandeer;true;2026-04-27;2026-04-26
15;experienced;uh-huh;as;true;2026-04-27;2026-04-26
16;yum as;pish opposite ha;outfox gadzooks;false;2026-04-26;2026-04-26
17;whenever innovate stuff;department peter;banish burgeon;false;2026-04-27;2026-04-27
18;like easy;whose;although atomize;true;2026-04-26;2026-04-26
19;until drat;hence in-joke;outbid enthusiastically;true;2026-04-26;2026-04-27
20;between so;seemingly phooey almighty;aside quicker in;true;2026-04-26;2026-04-27
21;unless um;eek versus promptly;frightfully spherical provided;true;2026-04-27;2026-04-27
22;between mummify ha;bah astride unlike;overconfidently aboard ruin;false;2026-04-27;2026-04-27
23;when since drat;ack than sadly;absent;true;2026-04-26;2026-04-27
24;lest regarding;outnumber cannon times;toothbrush;false;2026-04-27;2026-04-27
25;frenetically yippee feather;why sans cheetah;lean;false;2026-04-27;2026-04-27
26;agreeable;within;embody;true;2026-04-26;2026-04-27
27;creaking;violin majestically meanwhile;whether cleave;false;2026-04-27;2026-04-27
28;plus;now unearth;upright;true;2026-04-26;2026-04-26
29;properly sleet;stabilise yahoo essence;because;true;2026-04-27;2026-04-26
30;brr encouragement;knowledgeably forager;flight an anesthetize;false;2026-04-26;2026-04-27
