id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;shadowbox frivolous;gulp nun;volleyball;true;2026-04-23;2026-04-23
2;yuck pivot pupil;although till;before inasmuch;false;2026-04-24;2026-04-24
3;fervently unaware;baa;oof alive;false;2026-04-24;2026-04-23
4;but polyester entry;inspect;evenly;true;2026-04-24;2026-04-23
5;shakily;row helpful kettledrum;tag minus;false;2026-04-24;2026-04-24
6;solder underneath moralise;bench gust;oh;false;2026-04-24;2026-04-23
7;amid aboard;amongst even;besides;false;2026-04-24;2026-04-24
8;drat ecstatic;refer pfft;who though;false;2026-04-24;2026-04-24
9;saloon;joyful accompanist retool;phew;false;2026-04-24;2026-04-24
10;beyond;although microblog;possible gurn;true;2026-04-24;2026-04-24
11;under among huzzah;oof diligent without;graft mixture;false;2026-04-23;2026-04-24
12;yippee;sadly;blight;true;2026-04-24;2026-04-24
13;amidst whoa integer;neglect blah emboss;snoop amidst;false;2026-04-24;2026-04-24
14;assured joshingly other;given replicate;through parched ceramic;true;2026-04-23;2026-04-24
15;when across gadzooks;amused newsstand er;source;false;2026-04-24;2026-04-23
16;misread satirize;illustrious aw;acquire;false;2026-04-24;2026-04-24
17;zowie cruel;into truthfully rule;gah overdue describe;true;2026-04-24;2026-04-24
18;begonia ha;colorless opposite boss;er;true;2026-04-23;2026-04-24
19;tensely;hence midst like;cool;true;2026-04-24;2026-04-24
20;unimportant imaginary;eek for;the section vastly;false;2026-04-24;2026-04-23
21;amongst cavernous unusual;even apostrophize;switchboard;false;2026-04-24;2026-04-23
22;although midst mid;lotion;gee psst diver;true;2026-04-24;2026-04-23
23;platypus hm ornate;pricey reassuringly lifestyle;times off;true;2026-04-24;2026-04-24
24;and;inasmuch;shameful jovially source;true;2026-04-23;2026-04-24
25;though;meanwhile ignorance;ack ordinary super;true;2026-04-24;2026-04-24
26;politely repentant quicker;pretty tusk;once;true;2026-04-23;2026-04-24
27;uh-huh after anxiously;after;gosh;false;2026-04-24;2026-04-24
28;off;despite possible knit;mozzarella;false;2026-04-23;2026-04-24
29;whether strictly scented;well-off apropos;deduction league;true;2026-04-23;2026-04-24
30;mismatch;thankfully;woot mobilize rigid;true;2026-04-23;2026-04-24
