id;nombre;codigo;codigo_postal;fecha_alta;fecha_baja;activo;provincia_id
1;naturally absentmindedly;illusion labourer;tired energetically ;2026-04-24;2026-04-24;false;1
2;honored someplace;how;quintuple abnegate r;2026-04-24;2026-04-23;true;2
3;round;pish suspiciously controvert;ew famously;2026-04-24;2026-04-23;false;3
4;forceful;when;failing well;2026-04-24;2026-04-23;false;4
5;anti and;legislature weary;fortunate publicity ;2026-04-24;2026-04-24;true;5
6;incidentally woot;animated daily smart;gee;2026-04-24;2026-04-23;true;6
7;wherever;thigh squeaky industrialize;rationale frenetical;2026-04-24;2026-04-24;false;7
8;sunbathe sharply;buzzing;ready;2026-04-24;2026-04-24;true;8
9;excitedly loosely outside;though soon;toward;2026-04-24;2026-04-24;true;9
10;speedily with;serve;gruesome midst raw;2026-04-24;2026-04-24;false;10
11;of deeply scarily;hm unless;fiddle never;2026-04-24;2026-04-23;false;11
12;nicely;down pish twin;gratefully gah;2026-04-23;2026-04-24;true;12
13;embed boo solution;avalanche huzzah squid;posh split;2026-04-23;2026-04-23;true;13
14;luck;till comb;bogus blah;2026-04-24;2026-04-23;false;14
15;bah doubter;gape um triumphantly;finger;2026-04-24;2026-04-24;false;15
16;lustrous kaleidoscopic questionable;actually while;secrecy label despit;2026-04-23;2026-04-24;false;16
17;cruelly teeming pfft;swiftly;exhausted adviser;2026-04-24;2026-04-24;true;17
18;tremendously;configuration riser deeply;adolescent;2026-04-23;2026-04-24;false;18
19;innovate record instantly;that like brown;brr and aw;2026-04-23;2026-04-24;true;19
20;fully so;dramatic yum correctly;shinny down;2026-04-24;2026-04-24;false;20
21;off yet;gastropod;frizzy;2026-04-24;2026-04-24;true;21
22;rarely ripe;of thorn speedy;under;2026-04-23;2026-04-23;false;22
23;courageously hollow secrecy;mortar overstay manner;gadzooks;2026-04-24;2026-04-24;true;23
24;utilization distant;outfit motionless preregister;conjecture;2026-04-24;2026-04-24;true;24
25;demobilise measly innovate;westernize;brandish underpants ;2026-04-24;2026-04-24;true;25
26;fragrant rebuild;drat categorise through;yahoo;2026-04-24;2026-04-24;true;26
27;through;coordination oh serialize;pacemaker abaft amid;2026-04-23;2026-04-24;true;27
28;which horse;out pfft;gee;2026-04-24;2026-04-23;true;28
29;meh;anesthetize stigmatize;wrongly essential un;2026-04-24;2026-04-23;true;29
30;sermon;even;adviser;2026-04-24;2026-04-24;true;30
