id;legajo;fecha_ingreso;fecha_baja;activo;persona_id;tipo_empleado_id;estado_laboral_id;cargo_id
1;with;2026-04-24;2026-04-24;true;1;1;1;1
2;midst gadzooks that;2026-04-24;2026-04-23;false;2;2;2;2
3;lest;2026-04-24;2026-04-24;true;3;3;3;3
4;along worthwhile um;2026-04-23;2026-04-24;false;4;4;4;4
5;far-flung weighty;2026-04-24;2026-04-24;false;5;5;5;5
6;operating anenst;2026-04-24;2026-04-24;false;6;6;6;6
7;avaricious;2026-04-24;2026-04-24;true;7;7;7;7
8;boohoo sailor aching;2026-04-24;2026-04-23;true;8;8;8;8
9;atop freely;2026-04-24;2026-04-24;false;9;9;9;9
10;guilty pish among;2026-04-23;2026-04-24;true;10;10;10;10
11;efface gym;2026-04-23;2026-04-23;false;11;11;11;11
12;monstrous;2026-04-23;2026-04-24;true;12;12;12;12
13;as blah;2026-04-23;2026-04-24;false;13;13;13;13
14;unfortunately;2026-04-23;2026-04-23;true;14;14;14;14
15;duh;2026-04-24;2026-04-24;true;15;15;15;15
16;beneath annual;2026-04-24;2026-04-23;false;16;16;16;16
17;tender probe meh;2026-04-24;2026-04-24;false;17;17;17;17
18;geez for;2026-04-23;2026-04-24;true;18;18;18;18
19;apprehensive;2026-04-24;2026-04-24;false;19;19;19;19
20;kit majority;2026-04-24;2026-04-24;false;20;20;20;20
21;quiet that eulogise;2026-04-24;2026-04-24;true;21;21;21;21
22;since;2026-04-24;2026-04-23;true;22;22;22;22
23;ew circular;2026-04-23;2026-04-24;true;23;23;23;23
24;like pace including;2026-04-24;2026-04-23;true;24;24;24;24
25;so;2026-04-24;2026-04-24;false;25;25;25;25
26;intently yuck;2026-04-24;2026-04-24;true;26;26;26;26
27;westernize up rightfully;2026-04-23;2026-04-24;true;27;27;27;27
28;madly;2026-04-24;2026-04-23;false;28;28;28;28
29;if although gosh;2026-04-24;2026-04-24;false;29;29;29;29
30;uneven knight after;2026-04-24;2026-04-23;true;30;30;30;30
