id;codigo;nombre;descripcion;fecha_alta;fecha_baja;activa
1;yahoo;why;ecstatic less modulo;2026-04-24;2026-04-23;false
2;of;truthfully warmhearted uh-huh;fooey yippee blah;2026-04-24;2026-04-24;false
3;ashamed grouper;excepting;coin;2026-04-24;2026-04-23;false
4;mysterious explode drat;fiercely barring ultimately;powerfully;2026-04-24;2026-04-24;true
5;pace;yum where;profuse deselect jump;2026-04-24;2026-04-24;true
6;and aw;punctually rationale toothbrush;solvency drat;2026-04-24;2026-04-24;true
7;along;provided uncork questionably;astride probate deadly;2026-04-24;2026-04-24;true
8;mid;huzzah hmph;immaculate;2026-04-24;2026-04-24;true
9;furthermore inasmuch marimba;jam-packed;hence celebrated;2026-04-24;2026-04-24;false
10;confound;irk sore till;below excluding dead;2026-04-24;2026-04-24;true
11;but venture viciously;alb;vengeful gah;2026-04-24;2026-04-24;true
12;svelte cheap;reckless within;concrete;2026-04-24;2026-04-24;false
13;till gadzooks paltry;dereference zowie;congregate accidentally reluctantly;2026-04-24;2026-04-24;true
14;unique sans;sheepishly task;certainly;2026-04-24;2026-04-23;true
15;buck politely phooey;capitalise up destock;hence;2026-04-23;2026-04-23;true
16;under acknowledge;burdensome enchanted why;coarse knowledgeably;2026-04-24;2026-04-24;false
17;unblinking even hence;yippee hopelessly;jogging;2026-04-24;2026-04-23;true
18;doting;lest trained;sour caring crushing;2026-04-23;2026-04-24;true
19;worthy hassle boohoo;bashfully on;where oh;2026-04-24;2026-04-24;true
20;storyboard;once;clumsy;2026-04-24;2026-04-24;true
21;whoever;outside lend;qua;2026-04-23;2026-04-24;false
22;notwithstanding mean yet;alongside;powerless;2026-04-24;2026-04-24;true
23;outfit beneath woot;cardboard impassioned;merge sleepily;2026-04-24;2026-04-23;false
24;briefly quarrelsomely make;deafening;stay and while;2026-04-24;2026-04-24;true
25;wherever plus;while;inasmuch;2026-04-24;2026-04-24;false
26;midst safeguard engender;sport if tragic;now amidst boo;2026-04-24;2026-04-24;false
27;mysterious pish kindheartedly;glass;once issue;2026-04-24;2026-04-24;false
28;loyally;loyally low about;suspension;2026-04-24;2026-04-24;false
29;starboard councilman moisten;aha;hunt finally;2026-04-24;2026-04-24;false
30;fence ribbon;whether pick until;furiously;2026-04-24;2026-04-23;true
