id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;obnoxiously outfit stable;orientate;rim;true;2026-04-27;2026-04-27
2;unblinking vicinity;incidentally;inborn huzzah lucky;true;2026-04-27;2026-04-27
3;babyish;likewise pitiful internalize;dispose although yahoo;false;2026-04-26;2026-04-27
4;aftermath kinase infatuated;disadvantage priesthood;doubtfully voluntarily;false;2026-04-26;2026-04-27
5;besides now;service;scarily wombat;false;2026-04-26;2026-04-27
6;treasure repeat provided;deficient;shoulder along hepatitis;false;2026-04-27;2026-04-27
7;adumbrate tedious;including meaty;wholly furthermore rewrite;true;2026-04-27;2026-04-27
8;besides consequently;handover qua peaceful;vivaciously fuss;false;2026-04-27;2026-04-27
9;bid;settle pace;roadway;true;2026-04-27;2026-04-27
10;duh;dutiful;opposite;false;2026-04-26;2026-04-26
11;so whoever geez;numb ha;in;true;2026-04-27;2026-04-27
12;per courageously aboard;aw psst;apud abandoned yummy;true;2026-04-27;2026-04-27
13;furthermore bah whose;until pro;incidentally but;true;2026-04-27;2026-04-27
14;actual though softly;finally where carouse;whose;false;2026-04-27;2026-04-27
15;programme;less phew;urban but with;true;2026-04-27;2026-04-27
16;sharply palatable hmph;geez;instead yahoo;true;2026-04-27;2026-04-27
17;against smoothly;obedience;but that commodity;false;2026-04-27;2026-04-27
18;about;yearly haircut knowingly;yippee overproduce;true;2026-04-26;2026-04-26
19;meanwhile vengeful yippee;deliquesce emotional;dim;false;2026-04-26;2026-04-26
20;schedule materialise lest;where;bah eventually loftily;true;2026-04-27;2026-04-26
21;drat eventually;wilt helpful;yowza;true;2026-04-26;2026-04-27
22;gosh consequently;ultimately gadzooks swift;shinny redesign;true;2026-04-27;2026-04-26
23;kiddingly for;furthermore catch;patiently;true;2026-04-27;2026-04-27
24;impact toaster;pale syringe slowly;surprisingly apropos spork;false;2026-04-27;2026-04-27
25;intent instead;as;bench anti yearningly;true;2026-04-26;2026-04-27
26;tabletop edge where;bah;unethically frightfully;true;2026-04-27;2026-04-27
27;upon phooey;anenst;litter ouch;true;2026-04-27;2026-04-26
28;pfft;before;redevelop;false;2026-04-27;2026-04-27
29;safe;ouch;whoever emulsify optimistically;false;2026-04-27;2026-04-26
30;teriyaki;smoggy ack reach;than acquaintance;true;2026-04-27;2026-04-26
