id;codigo;nombre;descripcion;fecha_alta;fecha_baja;activo
1;knight on hm;serialize polarisation;destock;2026-04-24;2026-04-24;true
2;prudent depute;whether;zowie where;2026-04-24;2026-04-24;true
3;large fooey;represent;yellowish incidentally;2026-04-24;2026-04-23;true
4;punctually;scout;fooey;2026-04-23;2026-04-24;false
5;where second-hand;impressionable oily phew;toward whenever obnoxiously;2026-04-24;2026-04-24;false
6;aboard finally;silently needily;watery ha vibraphone;2026-04-24;2026-04-23;false
7;huzzah when for;unless ripe;what beyond avalanche;2026-04-24;2026-04-23;true
8;chip circulate blah;solvency aw;beneath;2026-04-24;2026-04-24;true
9;override linseed aw;glimmer reproachfully amid;er academics;2026-04-24;2026-04-24;false
10;impostor playfully violently;christen pressure;shyly rejoin pleasure;2026-04-24;2026-04-24;false
11;minor;these swing;critical yet;2026-04-24;2026-04-23;true
12;doubter gee;ick around;usable;2026-04-24;2026-04-24;true
13;essay;doing obedient;satirize mostly develop;2026-04-23;2026-04-24;false
14;embalm misspend um;truthfully;begonia forceful defiantly;2026-04-24;2026-04-24;false
15;ha long for;why;cultivated;2026-04-24;2026-04-24;false
16;release huzzah makeover;who instead aside;advertisement;2026-04-24;2026-04-24;true
17;even icy huzzah;league gum;alert label solicit;2026-04-24;2026-04-23;true
18;fully obsess;er although;sushi onto;2026-04-24;2026-04-23;true
19;wherever and;ick;apud;2026-04-24;2026-04-23;false
20;accidentally;now;aha excitedly conceal;2026-04-24;2026-04-23;false
21;boldly elliptical ferret;blah;aboard;2026-04-24;2026-04-24;false
22;liberalize;dwell bandwidth;old-fashioned;2026-04-23;2026-04-24;false
23;hot oof limply;millet noon aboard;until;2026-04-24;2026-04-24;false
24;sleepily yet upbeat;whenever;swelter subdued baritone;2026-04-24;2026-04-24;true
25;ceramic;instead;actual solicit;2026-04-24;2026-04-23;false
26;since;usher status;pish before;2026-04-23;2026-04-24;true
27;stall till furthermore;cricket fleck quarrel;famously cruel;2026-04-23;2026-04-23;true
28;vastly contrast;suspiciously solvency regular;furiously save unless;2026-04-24;2026-04-24;true
29;once quietly;unselfish eek;slime unused kindheartedly;2026-04-24;2026-04-24;true
30;now event;flood woot;anguished;2026-04-24;2026-04-24;true
