id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;viciously;rebuff provided;wash afterwards;true;2026-04-27;2026-04-27
2;nautical blah aching;brr;downshift technologist catalyze;false;2026-04-27;2026-04-27
3;informal where;imagineer;well pace fashion;false;2026-04-27;2026-04-27
4;tangible;after intermix;inasmuch er;false;2026-04-26;2026-04-26
5;haul irresponsible;except;platter importance boastfully;false;2026-04-27;2026-04-27
6;scotch gosh hastily;serpentine hollow;excluding satirise;true;2026-04-27;2026-04-27
7;wherever questioningly;towards;puzzled department;false;2026-04-27;2026-04-27
8;obsess by;grandson whenever for;huzzah;true;2026-04-27;2026-04-27
9;black-and-white;gape minister distant;viciously;true;2026-04-27;2026-04-26
10;bowed;inasmuch boohoo gah;ha;false;2026-04-27;2026-04-26
11;than into;beyond;lonely;true;2026-04-27;2026-04-27
12;trial;where;however;false;2026-04-27;2026-04-27
13;other chase athwart;quietly animated shallow;underneath midst pike;false;2026-04-27;2026-04-27
14;carefully gnash;jazz liberalize kindly;anti snack;true;2026-04-27;2026-04-27
15;till;per;consequently;false;2026-04-27;2026-04-26
16;descent hmph;yahoo;through;false;2026-04-26;2026-04-27
17;juggernaut aw;frozen quit necklace;whether excepting;false;2026-04-27;2026-04-27
18;however whose within;bah busy;shear nor kindly;true;2026-04-26;2026-04-27
19;low safely stable;likewise;seldom merrily woot;true;2026-04-26;2026-04-27
20;rust simple captain;yowza govern how;hmph gracefully now;true;2026-04-27;2026-04-26
21;huzzah blissfully;duh whoever;dearest;false;2026-04-26;2026-04-26
22;fence yet;meh doubtfully while;why;true;2026-04-27;2026-04-27
23;pluck whose yahoo;gah;icy seriously apropos;true;2026-04-27;2026-04-26
24;kindheartedly regal;frenetically memorise;outside;true;2026-04-27;2026-04-27
25;disapprove;than willing;finally our;false;2026-04-26;2026-04-27
26;quizzically graffiti;delectable oh frilly;gosh yowza;true;2026-04-27;2026-04-27
27;lest;transcend veg;vice;true;2026-04-27;2026-04-26
28;shameless;duh till;gifted deep helplessly;false;2026-04-26;2026-04-27
29;um;hotfoot;without own circumference;true;2026-04-27;2026-04-27
30;unwieldy membership;admired;thankfully bandwidth absentmindedly;true;2026-04-27;2026-04-27
