id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;stylish service ick;overcooked slowly;duh ha shampoo;false;2026-04-26;2026-04-26
2;normal yahoo;dress;or;true;2026-04-26;2026-04-27
3;closely;never but weatherize;incidentally when;true;2026-04-26;2026-04-26
4;underneath;augment down;while;true;2026-04-26;2026-04-27
5;jazz;hot;how without;false;2026-04-26;2026-04-26
6;only suitcase;bonfire hence;triumphantly;true;2026-04-26;2026-04-27
7;quick exotic;duh;even faraway;true;2026-04-27;2026-04-26
8;destock upright next;invite as;requirement but smug;true;2026-04-27;2026-04-27
9;hype except naughty;where;where supposing between;true;2026-04-27;2026-04-26
10;verbally unfortunate;giant yowza;minus;false;2026-04-27;2026-04-27
11;shoot wealthy aboard;for despite;zowie whereas;true;2026-04-26;2026-04-27
12;lack;settle quicker decriminalize;ouch freely;false;2026-04-27;2026-04-26
13;an;godfather;boo;false;2026-04-27;2026-04-26
14;parade ouch;instead well-to-do yellowish;than geez;false;2026-04-27;2026-04-27
15;malfunction;intermesh orderly;after as;false;2026-04-26;2026-04-27
16;mismatch;nor suddenly;coin idealistic tidy;true;2026-04-27;2026-04-27
17;likewise kiss round;quickly furthermore yum;joyously;false;2026-04-27;2026-04-27
18;whether list aw;slowly cow;attribute accelerator rapidly;true;2026-04-27;2026-04-26
19;yearn;noted aside meander;er indeed likewise;true;2026-04-27;2026-04-27
20;yeast without;drat;horde gloat drat;false;2026-04-26;2026-04-27
21;chilly as decriminalize;throughout glow;and ah insidious;true;2026-04-27;2026-04-27
22;sudden boo;although represent;apparatus infatuated;true;2026-04-26;2026-04-26
23;down angle vanadyl;vastly;sediment;false;2026-04-27;2026-04-26
24;wide-eyed;down vibration;pharmacopoeia;false;2026-04-26;2026-04-27
25;though enroll fake;aside curiously;confide absent regarding;true;2026-04-27;2026-04-27
26;though;darn till;if silky honorable;true;2026-04-27;2026-04-27
27;along ick;hence oh bogus;limply;true;2026-04-27;2026-04-27
28;modulo;tool;operating;true;2026-04-27;2026-04-26
29;rejigger afore;though whoa;release ugh;true;2026-04-26;2026-04-27
30;valiantly near;till;atop whose edible;false;2026-04-26;2026-04-26
