id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;underneath;boo inferior lively;ah ew;false;2026-04-24;2026-04-24
2;toward why;brook;ridge archive;false;2026-04-23;2026-04-24
3;underneath;often urgently onto;ravage foretell watery;true;2026-04-24;2026-04-24
4;near close;innocent condense breastplate;heating rudely well-documented;false;2026-04-24;2026-04-24
5;anaestheti;quizzically shabby solemnly;zowie for tighten;true;2026-04-24;2026-04-24
6;boohoo sil;than boohoo yowza;silent humor so;false;2026-04-24;2026-04-24
7;now venom ;extremely content;millet cardboard out;true;2026-04-23;2026-04-24
8;suspicious;but ick;consequently swanling;false;2026-04-24;2026-04-24
9;perfection;however;that;true;2026-04-23;2026-04-24
10;restfully ;yuck;yowza sneak;true;2026-04-24;2026-04-24
11;boo;pneumonia;pfft hm baggy;true;2026-04-24;2026-04-24
12;question;planula;whoa pro over;true;2026-04-24;2026-04-23
13;doubtfully;formamide;inasmuch dwell which;true;2026-04-24;2026-04-23
14;bump great;censor aw;upon insecure;true;2026-04-24;2026-04-23
15;unhealthy ;questionably amidst disposer;rudely;true;2026-04-24;2026-04-23
16;yahoo abno;beard forenenst;bright;false;2026-04-24;2026-04-24
17;intermix t;er;pro buzzing;false;2026-04-23;2026-04-24
18;though;determined dramatic;which whether;false;2026-04-23;2026-04-24
19;but popula;of phooey communicate;considering boldly;true;2026-04-24;2026-04-24
20;reproach b;supportive;on;false;2026-04-23;2026-04-24
21;for aliena;anxiously amidst reckless;sophisticated nor;false;2026-04-24;2026-04-23
22;wrong espe;futon;concerning;false;2026-04-24;2026-04-24
23;puritan se;um uh-huh;besides haunting even;true;2026-04-24;2026-04-24
24;abnormally;decision quarrelsomely;fibre likewise;true;2026-04-24;2026-04-24
25;skateboard;unearth above;broadcast;true;2026-04-23;2026-04-24
26;hence;now;blah apud sonnet;true;2026-04-24;2026-04-24
27;however co;amend;disposer cruelly;false;2026-04-24;2026-04-24
28;although b;strident meh tightly;but whether evil;false;2026-04-24;2026-04-24
29;yet upward;since lest;knottily;false;2026-04-24;2026-04-24
30;at service;among even;question sunbathe;false;2026-04-23;2026-04-24
