id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;shirk if;on ouch;necessary buttery;false;2026-04-24;2026-04-24
2;corrupt;shallow reboot;finally above yippee;false;2026-04-23;2026-04-24
3;instructiv;discontinue;against;true;2026-04-24;2026-04-24
4;circa marv;bowler;nice instead rectangular;true;2026-04-24;2026-04-24
5;hairy;experience mallard boss;ah;true;2026-04-24;2026-04-24
6;fog bidet;forenenst until excluding;whoever;true;2026-04-23;2026-04-23
7;well-groom;downchange enormously phooey;however;true;2026-04-23;2026-04-24
8;sonnet;vastly coaxingly;generously doubtfully yuppify;false;2026-04-24;2026-04-24
9;uncommon;fortunately;sidetrack plus;true;2026-04-23;2026-04-24
10;hotfoot sa;flawed corrupt meanwhile;uselessly upon;true;2026-04-23;2026-04-24
11;forenenst;rudely modulo;rightfully malfunction ruin;false;2026-04-24;2026-04-23
12;pip authen;till;overproduce glittering;true;2026-04-24;2026-04-23
13;sundae gee;salty;confide without suburban;true;2026-04-23;2026-04-24
14;masculiniz;as which;daily;true;2026-04-24;2026-04-24
15;squeaky hi;profane;unless basic superficial;true;2026-04-23;2026-04-24
16;within;well lost starboard;officially geez;true;2026-04-23;2026-04-23
17;the fledgl;reproachfully fraternise;veto;false;2026-04-23;2026-04-23
18;likewise;cloudy meh;hard-to-find;true;2026-04-24;2026-04-24
19;whether bl;since than;ouch;false;2026-04-23;2026-04-24
20;questionab;though;drat;true;2026-04-24;2026-04-23
21;pish;round;when instantly;false;2026-04-24;2026-04-24
22;ack;behind yahoo;patiently;false;2026-04-24;2026-04-23
23;oof;aboard huzzah ha;huzzah gah;true;2026-04-24;2026-04-24
24;blindly gr;pleasant;or;false;2026-04-23;2026-04-24
25;bench;blindly;phew;true;2026-04-24;2026-04-23
26;sheathe be;um clinking;like fine among;true;2026-04-24;2026-04-24
27;terrible;and moor;eek whereas;true;2026-04-24;2026-04-23
28;greedy;now yahoo;official;false;2026-04-24;2026-04-24
29;given;squiggly;sin plain who;true;2026-04-24;2026-04-24
30;whoever fo;earth grade veto;electrify;true;2026-04-24;2026-04-24
