id;codigo;nombre;telefono;email;direccion;activo;fecha_alta;fecha_baja
1;plus per;between before quarrelsomely;above;"3~@ku8.$f.6R&Vg";although damaged yowza;true;2026-04-24;2026-04-23
2;shred ill;yet;bleakly goodwill;"]@{ueq.(_P>!";overstay helpfully;false;2026-04-24;2026-04-24
3;intrigue stump;supposing consequently;augment over as;"BAjr6@a.%3u.";till gulp;false;2026-04-23;2026-04-24
4;dreamily;palatable phooey yearningly;uproot daintily;"#_R*Q7@!.(Yo";mmm;false;2026-04-24;2026-04-24
5;boohoo stingy but;given;merry;",9M>tO@mE%kVC.y";um psst astride;false;2026-04-24;2026-04-24
6;aside whether snuggle;glider;uncomfortable whopping;"}@2pR*9.}";although;false;2026-04-24;2026-04-24
7;vainly throughout;monumental;hold drat since;"j@#U7KoA.H[/!";gah soon likewise;true;2026-04-24;2026-04-23
8;grim warmly;within;peter yippee;"<n@|$+.0,";bloom amused gray;true;2026-04-23;2026-04-24
9;gadzooks;amongst;save intently;"E4WJ8@yWS:..4r";always;true;2026-04-24;2026-04-24
10;after;however;supposing um;"#6^b@sbG:U`.aCS^";uselessly castanet;false;2026-04-24;2026-04-24
11;mostly pressure and;pulverize whenever if;designation;"^CE_@qgS$.fnA";scale;false;2026-04-23;2026-04-24
12;sunder pleasure roasted;toward;at wee;"HIL.@3oWr.b{";meager per brr;true;2026-04-23;2026-04-24
13;a how robust;failing;accidentally;"sCpOA|@9?.:p*";enrage or although;false;2026-04-24;2026-04-23
14;affectionate excepting oh;except;plus supposing;"Y@W&~w.ul";bah;true;2026-04-24;2026-04-24
15;too stoop;antique furthermore boohoo;consequently after;"c?S<t@U.ex0";venture;true;2026-04-24;2026-04-24
16;promptly;following soft whereas;acidly honestly;"gs8i@Z3ZdE}.%";puritan comestible;false;2026-04-24;2026-04-24
17;oddly rare abnormally;an how yum;except;"g@z.YZ";regarding;true;2026-04-24;2026-04-24
18;stabilise colorfully;however submissive;schematise unlucky;"L^S6`@jfDMR.z";fantastic;false;2026-04-24;2026-04-24
19;suddenly weight stratify;since attest upside-down;instead questionably stealthil;"{O1@Lb8[+.U%k+";plan;true;2026-04-24;2026-04-23
20;until repurpose gruesome;capsize;amidst;"UI@!.e<z^3`";finally oof;true;2026-04-24;2026-04-24
21;gnash;bah;once;"hw\b@0I>D)Q.au'(";a;true;2026-04-24;2026-04-23
22;festival briskly quirkily;yowza;spice anguished;"v@_F!FSb.Wt,^";bog sideboard;false;2026-04-24;2026-04-24
23;emerge;what;mmm lest;"{diD@|T*.qv2GK";ouch oh cloudy;true;2026-04-24;2026-04-24
24;notwithstanding self-reliant r;amid beside whenever;assail tenant;"`hgW6)@?XPc.c!E";unwieldy above;true;2026-04-24;2026-04-24
25;where aside;mmm;for under yippee;"KvF+@\'ZT#.p";gracefully;true;2026-04-24;2026-04-23
26;or micromanage quarrelsomely;though;because lustrous;"!ge;@tY.Qm|${";second;false;2026-04-23;2026-04-24
27;polite yahoo;woot;pro;"{:,?_@?4:vU4.|&";firm;false;2026-04-24;2026-04-24
28;helpfully sedately brochure;deeply cop vivaciously;violin yum;"x-QC(n@]$Jv.>{kZ";ugh;false;2026-04-24;2026-04-24
29;yahoo prance delight;even heavy whether;mild broadcast once;"YR?@j4BQ`.q(O/";amongst furthermore superior;false;2026-04-23;2026-04-24
30;boastfully deduce gallivant;jealously;than perfectly off;"b@}G.AD";mmm drat desk;true;2026-04-24;2026-04-24
