id;nombre;codigo_iso;fecha_alta;fecha_baja;activo
1;minty;"XPA";2026-04-24;2026-04-24;false
2;unto searchingly;"IIK";2026-04-24;2026-04-24;false
3;councilman;"GIA";2026-04-24;2026-04-23;true
4;ouch;"IWF";2026-04-24;2026-04-23;true
5;uh-huh;"GU";2026-04-23;2026-04-24;false
6;disclosure bright yum;"VD";2026-04-24;2026-04-24;false
7;disrespect;"CW";2026-04-24;2026-04-24;true
8;yuck leap;"NP";2026-04-24;2026-04-24;true
9;loosely;"HO";2026-04-24;2026-04-24;true
10;mismatch;"MZK";2026-04-24;2026-04-24;false
11;carp needily;"JD";2026-04-24;2026-04-24;false
12;sandy;"OPI";2026-04-24;2026-04-24;true
13;kosher apropos colorless;"GGK";2026-04-24;2026-04-23;true
14;account properly invite;"VCM";2026-04-24;2026-04-23;false
15;supportive who obstruct;"VW";2026-04-23;2026-04-23;true
16;ew following;"MGR";2026-04-24;2026-04-24;true
17;clear-cut;"GAM";2026-04-24;2026-04-23;true
18;gnash;"KDY";2026-04-23;2026-04-24;true
19;rarely;"MAC";2026-04-24;2026-04-23;false
20;noisily;"TYU";2026-04-23;2026-04-23;true
21;murky out flight;"CBU";2026-04-24;2026-04-24;true
22;goodwill shinny clinch;"ZA";2026-04-24;2026-04-23;true
23;among electric;"YQB";2026-04-24;2026-04-24;true
24;raw qualified;"FRF";2026-04-24;2026-04-23;false
25;outrun so;"AM";2026-04-24;2026-04-24;false
26;foolishly minister rotating;"TTK";2026-04-24;2026-04-24;false
27;earnest fuel lovely;"PSO";2026-04-24;2026-04-24;false
28;treasure;"VN";2026-04-24;2026-04-23;false
29;intently duh officially;"RJ";2026-04-24;2026-04-24;false
30;rim;"UH";2026-04-24;2026-04-24;false
