id;nombre;codigo;fecha_alta;fecha_baja;activo;pais_id
1;rotten;yippee lumpy;2026-04-23;2026-04-23;true;1
2;brightly lively assail;pike;2026-04-24;2026-04-23;true;2
3;ack pro of;gently instantly plu;2026-04-24;2026-04-24;true;3
4;rim anenst;through;2026-04-24;2026-04-24;false;4
5;gah;oxidise roundabout s;2026-04-23;2026-04-24;false;5
6;whereas;meh t-shirt;2026-04-24;2026-04-24;false;6
7;er except;guest;2026-04-24;2026-04-23;true;7
8;than pant;shush clueless;2026-04-23;2026-04-23;false;8
9;obediently diagram whether;executor at gee;2026-04-24;2026-04-24;true;9
10;elegantly remorseful;bah;2026-04-24;2026-04-24;false;10
11;disapprove grandson;stiffen;2026-04-23;2026-04-24;true;11
12;outside gosh;numb reorganisation ;2026-04-24;2026-04-24;true;12
13;till meadow government;ick heavenly;2026-04-24;2026-04-24;true;13
14;while inject;ew foolish and;2026-04-24;2026-04-24;true;14
15;onto boo;gosh allegation;2026-04-24;2026-04-23;true;15
16;authentic;repossess catalog;2026-04-24;2026-04-24;true;16
17;or;modulo um;2026-04-24;2026-04-24;true;17
18;bruised whether thoroughly;duh since unfortunat;2026-04-24;2026-04-24;true;18
19;gee aw;zowie coarse;2026-04-24;2026-04-23;true;19
20;aha frivolous;velvety;2026-04-23;2026-04-24;false;20
21;carefree;intermix massage;2026-04-24;2026-04-23;false;21
22;small dutiful;righteously crossly ;2026-04-24;2026-04-24;true;22
23;boohoo;commercial rejigger;2026-04-23;2026-04-24;false;23
24;including whereas petticoat;rarely prejudge;2026-04-24;2026-04-24;true;24
25;hence sequester;misguided;2026-04-24;2026-04-24;true;25
26;decongestant outside tenant;that incidentally;2026-04-24;2026-04-24;false;26
27;smoggy enormously;whoever;2026-04-24;2026-04-24;false;27
28;unearth because;if;2026-04-24;2026-04-23;false;28
29;misappropriate;welcome dally;2026-04-24;2026-04-24;false;29
30;suburban;doubtfully;2026-04-23;2026-04-23;true;30
