id;codigo;nombre;descripcion;fecha_alta;fecha_baja;activo
1;sparse anenst;overburden;smoothly when;2026-04-24;2026-04-24;false
2;huzzah partridge urban;capitalize briskly oblong;pneumonia creature first;2026-04-24;2026-04-24;true
3;up celsius;geez devise but;executor;2026-04-23;2026-04-24;true
4;and exterior glorious;oof draw;whether;2026-04-23;2026-04-24;true
5;scowl;doodle;amidst;2026-04-23;2026-04-24;false
6;aw almost;pliers discontinue brr;gently sense;2026-04-24;2026-04-24;true
7;amidst rationalise;apropos swiftly;unabashedly all eek;2026-04-24;2026-04-24;true
8;supposing per bowling;concerned;above whether;2026-04-24;2026-04-24;true
9;following acclaimed;the;wilderness whether twist;2026-04-24;2026-04-24;false
10;monthly narrow birdcage;more meanwhile;creature;2026-04-24;2026-04-24;false
11;geez;trek;pleased aftermath above;2026-04-24;2026-04-24;false
12;celsius unless;describe leading;tensely outlandish;2026-04-24;2026-04-24;true
13;finger gloat dally;though;zowie exalt hungrily;2026-04-24;2026-04-24;false
14;where precedent around;thankfully;beside emotional better;2026-04-24;2026-04-24;false
15;keenly caring;furthermore rarely;cellar;2026-04-24;2026-04-24;true
16;glaring scope;represent;gosh abaft;2026-04-24;2026-04-23;false
17;sans;oh blond;apud;2026-04-24;2026-04-24;false
18;gadzooks;tennis intrepid too;hammock;2026-04-23;2026-04-24;false
19;wholly why;self-reliant now signature;towards;2026-04-24;2026-04-23;true
20;duh;but ack;gadzooks oof desecrate;2026-04-24;2026-04-24;false
21;rare whoa;splurge in upon;tough labourer psst;2026-04-24;2026-04-23;false
22;subdued where;godparent;till tray fairly;2026-04-23;2026-04-24;false
23;familiarize psst er;immediately;whoever boo;2026-04-23;2026-04-23;false
24;bruised;yet coil judgementally;french;2026-04-24;2026-04-24;false
25;aha;bowed violently;positively;2026-04-24;2026-04-23;false
26;brr scorpion athwart;loaf following climb;powerfully procurement hype;2026-04-24;2026-04-23;false
27;pigpen;weary cafe seemingly;pfft opposite;2026-04-23;2026-04-24;false
28;yowza misspend;loftily chasuble athwart;whenever ick;2026-04-24;2026-04-24;true
29;harmful sheathe ascertain;ick firm;stormy into;2026-04-24;2026-04-24;true
30;recede;stake eek;duh;2026-04-24;2026-04-23;true
