id;codigo;nombre;descripcion;activo;fecha_alta;fecha_baja
1;wherever likewise;broken;lazily ravioli yum;false;2026-04-27;2026-04-27
2;around failing;regarding;moisten crocodile failing;false;2026-04-27;2026-04-27
3;tenant gosh nervously;if wonderfully;boohoo;true;2026-04-26;2026-04-27
4;near than staid;table;yahoo outside but;true;2026-04-27;2026-04-26
5;ouch;however eek;scarper;false;2026-04-27;2026-04-27
6;make including;the starboard;safely by near;false;2026-04-27;2026-04-27
7;defiantly premeditation squid;grown graffiti commercial;dash brightly;true;2026-04-27;2026-04-27
8;given;amongst oof;quarrelsome total;false;2026-04-27;2026-04-26
9;yippee salty signature;psst knickers decongestant;fooey;false;2026-04-27;2026-04-27
10;above instead;whether terribly;gadzooks trusting who;false;2026-04-26;2026-04-26
11;improbable minus;aha commonly;loyally soon;false;2026-04-27;2026-04-26
12;yet punctuation doubtfully;preheat unfit while;to lack;false;2026-04-27;2026-04-26
13;splurge;alongside till;anenst dash;true;2026-04-27;2026-04-27
14;terraform;aw brief impish;indeed;false;2026-04-26;2026-04-27
15;supposing;jagged implode;honestly now amidst;true;2026-04-26;2026-04-27
16;hyphenation without;handsome adjourn jealously;wavy;true;2026-04-26;2026-04-27
17;fathom beneath gad;before abandoned below;solemnly juggernaut;false;2026-04-27;2026-04-27
18;formation although anenst;indeed;via knowingly yearly;true;2026-04-27;2026-04-27
19;forenenst;overcook lively gadzooks;both pfft;true;2026-04-27;2026-04-27
20;showboat aha;limply inventory huzzah;maintainer eventually punctually;false;2026-04-27;2026-04-27
21;along um;obedience;whether;true;2026-04-27;2026-04-27
22;furthermore confound well-lit;though bah;victoriously solder;false;2026-04-27;2026-04-27
23;around parody righteously;pillory furthermore;surface for;false;2026-04-27;2026-04-27
24;vainly;bowling any volunteer;clamor like pigpen;false;2026-04-26;2026-04-26
25;among;siege;quickly meh wing;true;2026-04-27;2026-04-27
26;final for;thin;maroon blah ceramics;true;2026-04-26;2026-04-26
27;wherever;meanwhile;than always outsource;true;2026-04-26;2026-04-26
28;yahoo monthly;silk deploy live;once twin;false;2026-04-27;2026-04-26
29;resolve before;on often;institute unless;false;2026-04-26;2026-04-27
30;fencing enthusiastically rever;glum fooey loaf;notwithstanding drat unlearn;false;2026-04-27;2026-04-26
