id;codigo;nombre;sigla;descripcion;activo;fecha_alta;fecha_baja
1;commemorate;emergent glisten meh;slowly headline;edge;false;2026-04-23;2026-04-24
2;and;absent;massage;eggplant;false;2026-04-24;2026-04-24
3;anenst fussy although;proper;of;likewise outlying inasmuch;false;2026-04-23;2026-04-24
4;damaged nor yet;among;since;which likewise;false;2026-04-24;2026-04-24
5;forenenst edible celebrated;frantically;avow geez;midst;true;2026-04-24;2026-04-24
6;ascribe aha highly;question;whenever;misguided gratefully until;true;2026-04-24;2026-04-24
7;unruly;an whoa almost;our loyally;er;false;2026-04-23;2026-04-24
8;scratchy;over rubric ew;or clamor;reel yippee;false;2026-04-24;2026-04-23
9;who sleepily around;avow;since given;imagineer far;false;2026-04-24;2026-04-24
10;inasmuch thin smoke;scary disappointment;youthfully ick pigle;puppet inasmuch;true;2026-04-24;2026-04-24
11;woot;duh;clamor;internal because until;true;2026-04-24;2026-04-24
12;inasmuch satisfy;woot consequently stiffen;victoriously after;harvest pro;false;2026-04-24;2026-04-24
13;even vestment than;spanish;hover;busily sans boring;false;2026-04-24;2026-04-23
14;meh fail;pleasing;perfectly badly who;charming;true;2026-04-24;2026-04-23
15;factorize developing indeed;scarification extra-large;kindheartedly conseq;underneath because hidden;false;2026-04-23;2026-04-24
16;between unless;stingy strictly huzzah;loudly nor beautiful;blah regularly;true;2026-04-23;2026-04-24
17;stigmatize;evenly icy spiteful;advancement followin;unto for opposite;true;2026-04-24;2026-04-24
18;ugh or;intend punctually;hawk woefully sunbea;amongst inquisitively;false;2026-04-24;2026-04-24
19;bide colorful gloss;except;apud;instead glisten irk;true;2026-04-24;2026-04-24
20;ick;cake relaunch misappropriate;gee psst;the why shrilly;false;2026-04-24;2026-04-24
21;that that;fabricate;amend;colorfully versus likely;false;2026-04-24;2026-04-24
22;last spherical;bah while warlike;pfft;pro;false;2026-04-24;2026-04-24
23;loaf;develop whether;finally basic;sheepishly decisive haircut;true;2026-04-24;2026-04-24
24;quarrel;alienated;downchange amazing g;oh;false;2026-04-23;2026-04-24
25;obnoxiously pillow;toothbrush avaricious;deed;gummy achieve bank;true;2026-04-24;2026-04-23
26;brace director symbolise;mesh excepting unlike;ah hm;busily;false;2026-04-24;2026-04-24
27;gee;armchair ugh;when thick;promptly;true;2026-04-24;2026-04-24
28;unless what;er;fussy qua long-term;yuck broken since;true;2026-04-24;2026-04-24
29;yum sham rarely;scratch jam-packed spellcheck;giving essence minus;hence fake but;true;2026-04-24;2026-04-24
30;fortunate worse;folklore spectate tragic;than retention well-;mathematics since cleverly;true;2026-04-24;2026-04-24
