id;codigo;nombre;descripcion;fecha_alta;fecha_baja;activo
1;pleasant submissive;except;pomelo;2026-04-24;2026-04-23;false
2;creamy;alongside until;suitcase;2026-04-24;2026-04-24;true
3;ah;supposing;circa playfully;2026-04-24;2026-04-24;false
4;shakily clean consequently;clonk opposite;swift;2026-04-24;2026-04-24;true
5;integer;hungrily slowly silently;fatally best-seller;2026-04-24;2026-04-24;true
6;antelope busily;an fortunate;bah notwithstanding baseboard;2026-04-24;2026-04-23;true
7;brr;sweatshop furthermore deplore;when;2026-04-23;2026-04-24;false
8;under reorganisation that;unto;major;2026-04-24;2026-04-24;false
9;optimistically;outside inferior;grown microblog;2026-04-23;2026-04-24;true
10;aw outsource yum;commercial ack anguished;onset;2026-04-24;2026-04-24;false
11;meanwhile;whoa kookily;up energetically jacket;2026-04-24;2026-04-23;true
12;phooey;singing pish round;whether backburn nerve;2026-04-24;2026-04-24;true
13;unaccountably numeric;pish forgather;yet;2026-04-24;2026-04-23;true
14;stigmatize;duh an;belabor amongst;2026-04-24;2026-04-24;false
15;though;unnaturally;enchanted;2026-04-24;2026-04-24;true
16;from;where since;lightly boo boo;2026-04-23;2026-04-23;true
17;since;napkin;nor hmph;2026-04-24;2026-04-24;true
18;wildly;woot;quixotic wobbly;2026-04-24;2026-04-24;true
19;idolized humidity;pfft pish successfully;across oh;2026-04-24;2026-04-24;true
20;healthily uh-huh;circa;language amused;2026-04-24;2026-04-24;false
21;barring wordy;gnaw basic yet;versus;2026-04-24;2026-04-24;true
22;even likewise;castanet normal;beyond make;2026-04-23;2026-04-24;true
23;solution valley;given silk;mostly less;2026-04-24;2026-04-23;true
24;mechanically reschedule;till maestro brisk;versus for upbeat;2026-04-24;2026-04-24;false
25;arrange apropos lest;scarper soon finally;because scrabble;2026-04-24;2026-04-24;true
26;huzzah defendant;inside staid inquisitively;if even;2026-04-24;2026-04-24;true
27;chairperson;approximate whose once;faint since;2026-04-24;2026-04-24;true
28;except although;after colour;storyboard merit better;2026-04-23;2026-04-24;false
29;psst;plus;until;2026-04-24;2026-04-24;true
30;off brr;for gum;absentmindedly snarling;2026-04-24;2026-04-24;false
